player_name,team,season,h1_min,h1_FGM,h1_FGA,h1_3PM,h1_3PA,h1_FTM,h1_FTA,h1_AST,h1_STL,h1_BLK,h1_ORB,h1_DRB,h1_TO,h2_min,h2_FGM,h2_FGA,h2_3PM,h2_3PA,h2_FTM,h2_FTA,h2_AST,h2_STL,h2_BLK,h2_ORB,h2_DRB,h2_TO
Abdul Alatishe,Nicholls,2018-19,20.0,3,9,0,0,1,2,2,2,0,3,8,1,14.97,1,3,0,0,0,2,0,0,1,1,3,1
Abdul Dial,South Alabama,2018-19,20.0,10,19,1,3,4,8,2,2,1,8,12,4,14.95,3,9,0,2,0,0,2,0,1,3,2,1
Abdul Lewis,NJIT,2018-19,20.0,59,144,3,22,31,46,18,6,12,32,78,43,17.82,53,122,5,17,38,59,25,6,7,24,79,36
Abdul Ogunnaike,,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0.18,0,1,0,0,0,0,0,0,0,0,0,1
Abdulai Bundu,Quinnipiac,2018-19,20.0,32,53,0,1,15,23,10,8,8,32,41,18,14.85,29,48,0,0,17,26,2,7,11,36,54,12
Abe Kinrade,Air Force,2018-19,20.0,1,4,0,0,0,0,0,0,0,0,3,0,19.52,0,1,0,0,6,7,1,0,0,2,4,1
Abe Kuhn,Oberlin College,2018-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,2,0,2,0,0,0,0,0,0,0,0
Abel Porter,Utah State,2018-19,20.0,28,58,15,32,17,25,42,14,1,2,38,20,14.9,22,55,13,31,20,29,42,6,1,2,26,25
Abilene Christian,,2018-19,0.0,0,0,0,0,0,0,0,0,0,12,27,6,0.0,0,0,0,0,0,0,0,0,0,16,15,5
Abiola Akintola,Denver,2018-19,20.0,19,34,0,0,6,11,3,6,6,19,29,13,17.95,22,38,0,0,1,15,5,1,10,20,29,12
Aboubacar Diallo,Eastern Illinois,2018-19,0.0,13,20,0,0,0,2,2,8,13,16,20,6,17.98,4,9,0,0,0,0,2,6,10,9,11,5
Abu Kigab,Oregon,2018-19,20.0,1,10,0,6,0,0,4,0,0,2,6,1,20.0,5,9,0,3,2,3,3,0,0,3,6,1
Ace Stallings,Mt. St. Mary's,2018-19,0.0,0,2,0,1,0,0,0,0,2,1,2,1,17.95,1,1,0,0,0,0,0,0,0,0,0,0
Acie Vance,West Alabama,2018-19,19.87,1,3,1,2,5,5,1,1,0,0,1,1,14.68,0,1,0,0,0,0,0,0,0,0,0,2
Adalberto Diaz,NW Nazarene,2018-19,20.0,0,3,0,2,0,0,0,1,0,0,1,1,14.97,2,2,0,0,1,1,0,0,0,0,1,2
